id,name,priceUSD,category,image,images,description,featured,originalPrice,stock,status,promo,seoTitle,seoDescription,options,attributes
wireless-bluetooth-headphones,Wireless Bluetooth Headphones,79.99,Electronics,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?q=80&w=600&auto=format&fit=crop,"Over-ear headphones with active noise cancellation, 30-hour battery life, and premium sound quality.",true,,18,,,,,,
aluminum-laptop-stand,Aluminum Laptop Stand,14.99,Electronics,https://images.unsplash.com/photo-1611078489935-0cb964de46d6?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1611078489935-0cb964de46d6?q=80&w=600&auto=format&fit=crop,Adjustable aluminum laptop stand with open vent design. Ergonomic 15° tilt improves posture and airflow for your device.,,,50,,,,,,
canvas-platform-sneakers,Canvas Platform Sneakers,42,Clothing,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?q=80&w=600&auto=format&fit=crop,Low-top canvas sneakers with a chunky platform sole. Padded insole for all-day comfort and a retro streetwear vibe.,,,18,,leather-essentials,,,,
ceramic-coffee-mug-set,Ceramic Coffee Mug Set,24.99,Home,https://images.unsplash.com/photo-1514228742587-6b1558fcca3d?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1514228742587-6b1558fcca3d?q=80&w=600&auto=format&fit=crop,"Set of 4 handcrafted ceramic mugs in earthy tones. Dishwasher and microwave safe, 12 oz capacity each.",,,30,,,,,,
citrus-summer-cologne,Citrus Summer Cologne,22,Perfumery,https://images.unsplash.com/photo-1587017539504-67cfbddac569?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1587017539504-67cfbddac569?q=80&w=600&auto=format&fit=crop,Bright and invigorating cologne with top notes of grapefruit and bergamot. A refreshing summer staple.,,28,9,,summer-fragrances,,,,"{""Size"":""3.4 fl oz (100 ml)"",""Longevity"":""6-8 hours"",""Type"":""Eau de Cologne""}"
insulated-water-bottle,Insulated Water Bottle,28,Home,https://images.unsplash.com/photo-1602143407151-7111542de6e8?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1602143407151-7111542de6e8?q=80&w=600&auto=format&fit=crop,"Double-wall vacuum insulated stainless steel bottle. Keeps drinks cold for 24 hours or hot for 12 hours, 24 oz capacity.",,38,7,,,,,,
lavender-relaxing-oil,Lavender Relaxing Oil,15.5,Cosmetics,https://images.unsplash.com/photo-1541643600914-78b084683601?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1541643600914-78b084683601?q=80&w=600&auto=format&fit=crop,"Pure lavender essential oil sourced from Provence. Perfect for aromatherapy, massage, and creating a calming atmosphere.",,,7,,summer-fragrances,,,,
leather-wallet,Minimalist Leather Wallet,24,Accessories,,"leather_wallet_tan.webp,leather_wallet_dark_brown.webp",Sleek and slim vegetable-tanned leather wallet designed to carry your daily cards and bills.,false,,40,,,,,"{""Color"":[{""name"":""Tan"",""image"":""leather_wallet_tan.webp""},{""name"":""Dark Brown"",""image"":""leather_wallet_dark_brown.webp""}],""Monogram"":[{""name"":""No Monogram"",""priceUSD"":24},{""name"":""Gold Foil Initials"",""priceUSD"":29}]}","{""Leather Type"":""Full-Grain Vegetable Tanned"",""Card Slots"":""5 slots (fits up to 8 cards)"",""Dimensions"":""4.1 x 3.0 inches""}"
wireless-headphones,Noise-Canceling Wireless Headphones,129,Electronics,,"headphones_matte_black.webp,headphones_pearl_white.webp,headphones_navy_blue.webp",Premium over-ear wireless headphones with active noise cancellation and hi-res audio certification.,false,159,12,,,,,"{""Color"":[{""name"":""Matte Black"",""image"":""headphones_matte_black.webp""},{""name"":""Pearl White"",""image"":""headphones_pearl_white.webp""},{""name"":""Navy Blue"",""image"":""headphones_navy_blue.webp""}]}","{""Battery Life"":""Up to 30 hours"",""ANC Depth"":""-38dB noise reduction"",""Drivers"":""40mm dynamic diaphragm""}"
retro-round-sunglasses,Retro Round Sunglasses,16,Accessories,https://images.unsplash.com/photo-1572635196237-14b3f281503f?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1572635196237-14b3f281503f?q=80&w=600&auto=format&fit=crop,Retro-style round sunglasses with gold metal frame and dark lenses with full UV400 protection.,false,,30,,,,,,
silver-hoop-earrings,Silver Hoop Earrings,18,Jewelry,https://images.unsplash.com/photo-1635767798638-3e25273a8236?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1635767798638-3e25273a8236?q=80&w=600&auto=format&fit=crop,Classic sterling silver hoop earrings with a polished finish. Hypoallergenic and lightweight for everyday elegance.,,,25,,accessories-edit,,,,
slim-fit-denim-jacket,Slim Fit Denim Jacket,65,Clothing,https://images.unsplash.com/photo-1576995853123-5a10305d93c0?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1576995853123-5a10305d93c0?q=80&w=600&auto=format&fit=crop,"Classic blue denim jacket with a modern slim fit. Features button closure, chest pockets, and adjustable waist tabs.",,,15,,,,,,
vintage-leather-handbag,Vintage Leather Handbag,35,Accessories,vintage-leather-handbag.webp,vintage-leather-handbag.webp,Elegant camel-color shoulder bag. Its structured design and gold hardware give it a sophisticated look perfect for everyday wear.,false,,12,,accessories-edit,,,,
